Zona Operativa,Coordenadas del Poligono
AGU156D,"-58.4069590059,-34.5819670901,0 -58.4070332327,-34.5819663097,0 -58.4077993747,-34.5817235669,0 -58.4080498285,-34.5822993850,0 -58.4081756214,-34.5825885928,0 -58.4082369378,-34.5826146909,0 -58.4083996275,-34.5825411024,0 -58.4084854157,-34.5827354704,0 -58.4073590222,-34.5830573339,0 -58.4069234151,-34.5821084723,0 -58.4070201791,-34.5820804184,0 -58.4070126162,-34.5820598580,0 -58.4069155189,-34.5820888755,0 -58.4068656047,-34.5819825451,0 -58.4069590059,-34.5819670901,0"
AGU157A,"-58.4067344617,-34.5807840590,0 -58.4072927914,-34.5805959438,0 -58.4073510035,-34.5806130184,0 -58.4075392186,-34.5805722116,0 -58.4076453471,-34.5807214129,0 -58.4077002363,-34.5807457104,0 -58.4083732913,-34.5805118041,0 -58.4086620657,-34.5812008328,0 -58.4081671624,-34.5813481139,0 -58.4082650755,-34.5815848069,0 -58.4080576896,-34.5816432363,0 -58.4079987208,-34.5816201323,0 -58.4079493815,-34.5814644617,0 -58.4077082503,-34.5815370261,0 -58.4076306698,-34.5815034680,0 -58.4071390691,-34.5816537422,0 -58.4067344617,-34.5807840590,0"
AGU157B,"-58.4083732913,-34.5805118041,0 -58.4084044202,-34.5804609205,0 -58.4085671743,-34.5803837272,0 -58.4086151706,-34.5804038677,0 -58.4089424355,-34.5811222722,0 -58.4089141365,-34.5811716245,0 -58.4087384852,-34.5812295958,0 -58.4086620657,-34.5812008328,0 -58.4083732913,-34.5805118041,0"
Zona no identificada,"-58.4081671624,-34.5813481139,0 -58.4086620657,-34.5812008328,0 -58.4087384852,-34.5812295958,0 -58.4089141365,-34.5811716245,0 -58.4089842172,-34.5813192009,0 -58.4090565639,-34.5813462491,0 -58.4092019171,-34.5816795361,0 -58.4088932126,-34.5817708051,0 -58.4087548517,-34.5814475917,0 -58.4085986208,-34.5814910807,0 -58.4086301430,-34.5815637975,0 -58.4084336458,-34.5816197690,0 -58.4084029192,-34.5815459702,0 -58.4082650755,-34.5815848069,0 -58.4081671624,-34.5813481139,0"
AGU157D,"-58.4088932126,-34.5817708051,0 -58.4092019171,-34.5816795361,0 -58.4092450628,-34.5817784665,0 -58.4091260991,-34.5818147619,0 -58.4091459514,-34.5818578099,0 -58.4092661171,-34.5818217510,0 -58.4093628743,-34.5820429793,0 -58.4092893902,-34.5820660830,0 -58.4092986039,-34.5820868595,0 -58.4093739623,-34.5820662769,0 -58.4094327391,-34.5821997930,0 -58.4093960980,-34.5822646916,0 -58.4092014023,-34.5823280309,0 -58.4091120101,-34.5822819148,0 -58.4088932126,-34.5817708051,0"
AGU158A,"-58.4086151706,-34.5804038677,0 -58.4085671743,-34.5803837272,0 -58.4084773058,-34.5802361223,0 -58.4088028025,-34.5803351185,0 -58.4089132173,-34.5803555968,0 -58.4096231562,-34.5808457185,0 -58.4096290532,-34.5809311526,0 -58.4098716124,-34.5810551716,0 -58.4098407950,-34.5811223079,0 -58.4090565639,-34.5813462491,0 -58.4089842172,-34.5813192009,0 -58.4089141365,-34.5811716245,0 -58.4089424355,-34.5811222722,0 -58.4086151706,-34.5804038677,0"
AGU157C,"-58.4090565639,-34.5813462491,0 -58.4098407950,-34.5811223079,0 -58.4101579495,-34.5819805671,0 -58.4102439081,-34.5820122485,0 -58.4103094523,-34.5821942654,0 -58.4084854157,-34.5827354704,0 -58.4083996275,-34.5825411024,0 -58.4084199234,-34.5824831110,0 -58.4080576896,-34.5816432363,0 -58.4084029192,-34.5815459702,0 -58.4084336458,-34.5816197690,0 -58.4086301430,-34.5815637975,0 -58.4085986208,-34.5814910807,0 -58.4087548517,-34.5814475917,0 -58.4091120101,-34.5822819148,0 -58.4092014023,-34.5823280309,0 -58.4093960980,-34.5822646916,0 -58.4094327391,-34.5821997930,0 -58.4093739623,-34.5820662769,0 -58.4092986039,-34.5820868595,0 -58.4092893902,-34.5820660830,0 -58.4093628743,-34.5820429793,0 -58.4092661171,-34.5818217510,0 -58.4091459514,-34.5818578099,0 -58.4091260991,-34.5818147619,0 -58.4092450628,-34.5817784665,0 -58.4090565639,-34.5813462491,0"
AGU158C,"-58.4077993747,-34.5817235669,0 -58.4078319496,-34.5816792460,0 -58.4079987208,-34.5816201323,0 -58.4080576896,-34.5816432363,0 -58.4084199234,-34.5824831110,0 -58.4083996275,-34.5825411024,0 -58.4082369378,-34.5826146909,0 -58.4081756214,-34.5825885928,0 -58.4077993747,-34.5817235669,0"
AGU158D,"-58.4098407950,-34.5811223079,0 -58.4098716124,-34.5810551716,0 -58.4096290532,-34.5809311526,0 -58.4096231562,-34.5808457185,0 -58.4089132173,-34.5803555968,0 -58.4094431697,-34.5801822033,0 -58.4100396860,-34.5807766228,0 -58.4100360568,-34.5808463250,0 -58.4100526492,-34.5809824935,0 -58.4101655387,-34.5810338849,0 -58.4105479697,-34.5809238596,0 -58.4110166858,-34.5817530266,0 -58.4113528631,-34.5819185788,0 -58.4104309022,-34.5821582291,0 -58.4103094523,-34.5821942654,0 -58.4102439081,-34.5820122485,0 -58.4101579495,-34.5819805671,0 -58.4098407950,-34.5811223079,0"
AGU159A,"-58.4094431697,-34.5801822033,0 -58.4099643502,-34.5799979665,0 -58.4099953906,-34.5799132810,0 -58.4102137295,-34.5798377597,0 -58.4103276792,-34.5798719126,0 -58.4107068000,-34.5805992813,0 -58.4106848039,-34.5806564860,0 -58.4107607072,-34.5807908699,0 -58.4105850178,-34.5808606871,0 -58.4105479697,-34.5809238596,0 -58.4101655387,-34.5810338849,0 -58.4100526492,-34.5809824935,0 -58.4100360568,-34.5808463250,0 -58.4100396860,-34.5807766228,0 -58.4094431697,-34.5801822033,0"
AGU159B,"-58.4105479697,-34.5809238596,0 -58.4105850178,-34.5808606871,0 -58.4107607072,-34.5807908699,0 -58.4108508555,-34.5808193635,0 -58.4112862235,-34.5816531386,0 -58.4112443054,-34.5817201186,0 -58.4110166858,-34.5817530266,0 -58.4106631920,-34.5811276913,0 -58.4105479697,-34.5809238596,0"
AGU159C,"-58.4119881948,-34.5804610319,0 -58.4122119450,-34.5808616491,0 -58.4122522512,-34.5808474641,0 -58.4122576294,-34.5808570727,0 -58.4122169147,-34.5808707928,0 -58.4123627395,-34.5811320116,0 -58.4124099878,-34.5811160412,0 -58.4124178943,-34.5811329807,0 -58.4123723203,-34.5811495633,0 -58.4124227882,-34.5812393920,0 -58.4124520947,-34.5812938417,0 -58.4125005057,-34.5813871993,0 -58.4126067566,-34.5815938607,0 -58.4126846297,-34.5816234952,0 -58.4127547883,-34.5817850023,0 -58.4115331496,-34.5818479091,0 -58.4113528631,-34.5819185788,0 -58.4110166858,-34.5817530266,0 -58.4112443054,-34.5817201186,0 -58.4112862235,-34.5816531386,0 -58.4108508555,-34.5808193635,0 -58.4119881948,-34.5804610319,0"
AGU159D,"-58.4103276792,-34.5798719126,0 -58.4113680671,-34.5795104580,0 -58.4117863215,-34.5802461969,0 -58.4119124949,-34.5802794952,0 -58.4120010622,-34.5804356749,0 -58.4119881948,-34.5804610319,0 -58.4108508555,-34.5808193635,0 -58.4107607072,-34.5807908699,0 -58.4106848039,-34.5806564860,0 -58.4107068000,-34.5805992813,0 -58.4103276792,-34.5798719126,0"
AGU160A,"-58.4113680671,-34.5795104580,0 -58.4114060787,-34.5794040311,0 -58.4115233840,-34.5793613124,0 -58.4116263332,-34.5795486993,0 -58.4116962203,-34.5795685007,0 -58.4120462491,-34.5801967669,0 -58.4120187234,-34.5802315992,0 -58.4119124949,-34.5802794952,0 -58.4117863215,-34.5802461969,0 -58.4113680671,-34.5795104580,0"
AGU160B,"-58.4119124949,-34.5802794952,0 -58.4120187234,-34.5802315992,0 -58.4120462491,-34.5801967669,0 -58.4123082779,-34.5801174670,0 -58.4127404187,-34.5809766795,0 -58.4125636483,-34.5810309481,0 -58.4125475574,-34.5810749050,0 -58.4126539698,-34.5812096846,0 -58.4124445862,-34.5812784324,0 -58.4123723203,-34.5811495633,0 -58.4124178943,-34.5811329807,0 -58.4124099878,-34.5811160412,0 -58.4123627395,-34.5811320116,0 -58.4122169147,-34.5808707928,0 -58.4122576294,-34.5808570727,0 -58.4122522512,-34.5808474641,0 -58.4122119450,-34.5808616491,0 -58.4119881948,-34.5804610319,0 -58.4120010622,-34.5804356749,0 -58.4119124949,-34.5802794952,0"
AGU160C,"-58.4136697202,-34.5809557240,0 -58.4137147581,-34.5808990045,0 -58.4135907754,-34.5807712076,0 -58.4137294440,-34.5806924179,0 -58.4138440258,-34.5808561450,0 -58.4139309266,-34.5808852399,0 -58.4143416682,-34.5815495458,0 -58.4143181458,-34.5815977842,0 -58.4141593301,-34.5815897863,0 -58.4140401944,-34.5815402977,0 -58.4136697202,-34.5809557240,0"
AGU160D,"-58.4125475574,-34.5810749050,0 -58.4125636483,-34.5810309481,0 -58.4127404187,-34.5809766795,0 -58.4128268074,-34.5809520543,0 -58.4135324259,-34.5807432255,0 -58.4135907754,-34.5807712076,0 -58.4137147581,-34.5808990045,0 -58.4136697202,-34.5809557240,0 -58.4140401944,-34.5815402977,0 -58.4141593301,-34.5815897863,0 -58.4143181457,-34.5815977842,0 -58.4144285967,-34.5816987920,0 -58.4127547883,-34.5817850023,0 -58.4126846297,-34.5816234952,0 -58.4126067566,-34.5815938607,0 -58.4124445862,-34.5812784324,0 -58.4126539698,-34.5812096846,0 -58.4125475574,-34.5810749050,0"
AGU161A,"-58.4116962203,-34.5795685007,0 -58.4125845871,-34.5792674875,0 -58.4125916423,-34.5792151541,0 -58.4127736819,-34.5791477455,0 -58.4128352544,-34.5791744773,0 -58.4133200839,-34.5790029386,0 -58.4137085200,-34.5796961593,0 -58.4132552799,-34.5798231471,0 -58.4132086992,-34.5798816698,0 -58.4130573006,-34.5799422669,0 -58.4131549281,-34.5800805372,0 -58.4131227791,-34.5801400668,0 -58.4124250386,-34.5803496204,0 -58.4123082779,-34.5801174670,0 -58.4120462491,-34.5801967669,0 -58.4116962203,-34.5795685007,0"
AGU161B,"-58.4124250386,-34.5803496204,0 -58.4131227791,-34.5801400668,0 -58.4131549281,-34.5800805372,0 -58.4130573006,-34.5799422669,0 -58.4132086992,-34.5798816698,0 -58.4133317892,-34.5800563238,0 -58.4134151996,-34.5800609984,0 -58.4137670103,-34.5806367135,0 -58.4143538122,-34.5804773239,0 -58.4144434141,-34.5805106175,0 -58.4145364813,-34.5806596433,0 -58.4145162289,-34.5807218624,0 -58.4139309266,-34.5808852399,0 -58.4138440258,-34.5808561450,0 -58.4137294440,-34.5806924179,0 -58.4135907754,-34.5807712076,0 -58.4135324259,-34.5807432255,0 -58.4128268074,-34.5809520543,0 -58.4127404187,-34.5809766795,0 -58.4124250386,-34.5803496204,0"
AGU161C,"-58.4134151996,-34.5800609984,0 -58.4133317892,-34.5800563238,0 -58.4132086992,-34.5798816698,0 -58.4132552799,-34.5798231471,0 -58.4137085200,-34.5796961593,0 -58.4138436527,-34.5799373210,0 -58.4139689858,-34.5798991262,0 -58.4140074239,-34.5798271588,0 -58.4142090503,-34.5797684895,0 -58.4143098078,-34.5798051315,0 -58.4146565722,-34.5803766875,0 -58.4146626105,-34.5804449653,0 -58.4147514570,-34.5805867255,0 -58.4145364813,-34.5806596433,0 -58.4144434141,-34.5805106175,0 -58.4143538122,-34.5804773239,0 -58.4137670103,-34.5806367135,0 -58.4134151996,-34.5800609984,0"
AGU161D,"-58.4143098078,-34.5798051315,0 -58.4154488848,-34.5794743551,0 -58.4157950819,-34.5800227529,0 -58.4159601450,-34.5800616300,0 -58.4159648978,-34.5800690140,0 -58.4158605380,-34.5800980490,0 -58.4158791481,-34.5801430394,0 -58.4159910620,-34.5801103908,0 -58.4160490618,-34.5801997849,0 -58.4160036549,-34.5802792940,0 -58.4148253872,-34.5806191726,0 -58.4147514570,-34.5805867255,0 -58.4146626105,-34.5804449653,0 -58.4146565722,-34.5803766875,0 -58.4143098078,-34.5798051315,0"
AGU162A,"-58.4160036549,-34.5802792940,0 -58.4160490618,-34.5801997849,0 -58.4161598353,-34.5801650384,0 -58.4167962864,-34.5811739185,0 -58.4169383166,-34.5814256581,0 -58.4168231094,-34.5814464418,0 -58.4166902056,-34.5814176856,0 -58.4160036549,-34.5802792940,0"
AGU162B,"-58.4148253872,-34.5806191726,0 -58.4160036549,-34.5802792940,0 -58.4166902051,-34.5814176859,0 -58.4168231095,-34.5814464419,0 -58.4169080735,-34.5814311141,0 -58.4168789638,-34.5814495010,0 -58.4169707972,-34.5815981295,0 -58.4161120038,-34.5816332154,0 -58.4153713014,-34.5816620722,0 -58.4153001265,-34.5815348306,0 -58.4153518953,-34.5814524174,0 -58.4148253872,-34.5806191726,0"
AGU162C,"-58.4145162289,-34.5807218624,0 -58.4145364813,-34.5806596433,0 -58.4147514570,-34.5805867255,0 -58.4148253872,-34.5806191726,0 -58.4153518958,-34.5814524175,0 -58.4153001264,-34.5815348305,0 -58.4151037441,-34.5815467010,0 -58.4149996360,-34.5815130802,0 -58.4145162289,-34.5807218624,0"
AGU162D,"-58.4139309266,-34.5808852399,0 -58.4145162289,-34.5807218624,0 -58.4149996360,-34.5815130802,0 -58.4151037441,-34.5815467010,0 -58.4153001264,-34.5815348305,0 -58.4153713014,-34.5816620724,0 -58.4144285967,-34.5816987920,0 -58.4143181458,-34.5815977843,0 -58.4143416682,-34.5815495458,0 -58.4139309266,-34.5808852399,0"
AGU170,"-58.4075768055,-34.5901332683,0 -58.4077404428,-34.5901276932,0 -58.4083079185,-34.5905740252,0 -58.4082730033,-34.5907034225,0 -58.4081001228,-34.5908583775,0 -58.4079670483,-34.5908555784,0 -58.4074272101,-34.5913331416,0 -58.4067913438,-34.5908529252,0 -58.4066886918,-34.5908653902,0 -58.4064914862,-34.5910281082,0 -58.4063124984,-34.5908920490,0 -58.4065105573,-34.5907299608,0 -58.4065061401,-34.5906620429,0 -58.4071100919,-34.5901791089,0 -58.4072011130,-34.5901741205,0 -58.4074150316,-34.5900012363,0 -58.4075768055,-34.5901332683,0"
AGU171A,"-58.4059528428,-34.5898432418,0 -58.4062604312,-34.5896205058,0 -58.4058847186,-34.5893283123,0 -58.4062483555,-34.5889674272,0 -58.4067091376,-34.5893191170,0 -58.4067095455,-34.5894339988,0 -58.4068694560,-34.5895569943,0 -58.4066226910,-34.5897361607,0 -58.4066211761,-34.5898076172,0 -58.4071100919,-34.5901791089,0 -58.4065061401,-34.5906620429,0 -58.4061188403,-34.5903536301,0 -58.4060020664,-34.5902516401,0 -58.4062232628,-34.5900839897,0 -58.4059528428,-34.5898432418,0"
AGU171B,"-58.4058847186,-34.5893283123,0 -58.4056484598,-34.5891445714,0 -58.4058658402,-34.5889704318,0 -58.4057138105,-34.5888542998,0 -58.4057999172,-34.5887833069,0 -58.4059406875,-34.5887770667,0 -58.4062483555,-34.5889674272,0 -58.4058847186,-34.5893283123,0"
AGU171C,"-58.4061188403,-34.5903536301,0 -58.4057927035,-34.5906126970,0 -58.4056459368,-34.5905018955,0 -58.4056693033,-34.5904044386,0 -58.4055070494,-34.5902820365,0 -58.4057205073,-34.5901329441,0 -58.4057203651,-34.5900115870,0 -58.4059528428,-34.5898432418,0 -58.4062232628,-34.5900839897,0 -58.4060020664,-34.5902516401,0 -58.4061188403,-34.5903536301,0"
AGU171D,"-58.4065061401,-34.5906620429,0 -58.4065105573,-34.5907299608,0 -58.4063124984,-34.5908920490,0 -58.4061491660,-34.5908818071,0 -58.4057927035,-34.5906126970,0 -58.4061188403,-34.5903536301,0 -58.4065061401,-34.5906620429,0"
AGU172,"-58.4081121771,-34.5887358131,0 -58.4083792848,-34.5889672962,0 -58.4081109933,-34.5891894896,0 -58.4078020280,-34.5889195458,0 -58.4069558312,-34.5895581825,0 -58.4068694560,-34.5895569943,0 -58.4067095455,-34.5894339988,0 -58.4067091376,-34.5893191170,0 -58.4075169459,-34.5887185095,0 -58.4076585239,-34.5887247026,0 -58.4078204163,-34.5886036007,0 -58.4079719303,-34.5887323906,0 -58.4081121771,-34.5887358131,0"
AGU187A,"-58.4080900171,-34.5952096321,0 -58.4081480541,-34.5950544336,0 -58.4083695236,-34.5950126801,0 -58.4086071577,-34.5950499490,0 -58.4093355751,-34.5947381208,0 -58.4095306059,-34.5952393794,0 -58.4083237575,-34.5956665267,0 -58.4080900171,-34.5952096321,0"
AGU187B,"-58.4087243004,-34.5955247619,0 -58.4095306059,-34.5952393794,0 -58.4096495003,-34.5955449529,0 -58.4098527955,-34.5955948661,0 -58.4099357181,-34.5957687881,0 -58.4098953641,-34.5958597007,0 -58.4090872201,-34.5962157440,0 -58.4089443403,-34.5961838109,0 -58.4088589200,-34.5960107091,0 -58.4089138777,-34.5959008136,0 -58.4087243004,-34.5955247619,0"
AGU187C,"-58.4083237575,-34.5956665267,0 -58.4087243004,-34.5955247619,0 -58.4089138777,-34.5959008136,0 -58.4088589200,-34.5960107091,0 -58.4089443403,-34.5961838109,0 -58.4087307894,-34.5962731826,0 -58.4086717059,-34.5963901681,0 -58.4081484068,-34.5966047546,0 -58.4077842223,-34.5958635754,0 -58.4083237575,-34.5956665267,0"
AGU187D,"-58.4073863685,-34.5954322329,0 -58.4079430180,-34.5952561363,0 -58.4080900171,-34.5952096321,0 -58.4083237575,-34.5956665267,0 -58.4077842223,-34.5958635754,0 -58.4081484068,-34.5966047546,0 -58.4080029248,-34.5966644111,0 -58.4078745231,-34.5966314804,0 -58.4076654037,-34.5967189756,0 -58.4075713589,-34.5965490486,0 -58.4074465171,-34.5965254917,0 -58.4070320707,-34.5957440335,0 -58.4074686386,-34.5955902082,0 -58.4073863685,-34.5954322329,0"
AGU188,"-58.4064914862,-34.5910281082,0 -58.4066886918,-34.5908653902,0 -58.4067913438,-34.5908529252,0 -58.4074272101,-34.5913331416,0 -58.4079670483,-34.5908555784,0 -58.4081001228,-34.5908583775,0 -58.4082431817,-34.5908964319,0 -58.4069032611,-34.5920783451,0 -58.4067573525,-34.5919705665,0 -58.4071605035,-34.5916129070,0 -58.4064943484,-34.5911197545,0 -58.4064914862,-34.5910281082,0"
Zona no identificada,"-58.4045642561,-34.5912161846,0 -58.4045681431,-34.5911711858,0 -58.4047483222,-34.5910446094,0 -58.4048881013,-34.5910452661,0 -58.4056459368,-34.5905018955,0 -58.4061491660,-34.5908818071,0 -58.4061986299,-34.5908849085,0 -58.4061273756,-34.5909437927,0 -58.4059352877,-34.5911025323,0 -58.4056418367,-34.5913450360,0 -58.4054453518,-34.5915074074,0 -58.4054552070,-34.5915983493,0 -58.4056302960,-34.5917376170,0 -58.4057286493,-34.5917356603,0 -58.4059214895,-34.5915805469,0 -58.4062192826,-34.5913410105,0 -58.4064160902,-34.5911827034,0 -58.4064943484,-34.5911197545,0 -58.4071605035,-34.5916129070,0 -58.4067573525,-34.5919705665,0 -58.4069053525,-34.5920798902,0 -58.4063188541,-34.5925937046,0 -58.4062331772,-34.5925123745,0 -58.4061108923,-34.5924804810,0 -58.4054688417,-34.5919401249,0 -58.4054629584,-34.5918743159,0 -58.4052878348,-34.5917350862,0 -58.4050989131,-34.5917171113,0 -58.4045642561,-34.5912161846,0"
AGU190,"-58.4052878348,-34.5917350862,0 -58.4054629584,-34.5918743159,0 -58.4054688417,-34.5919401249,0 -58.4061108923,-34.5924804810,0 -58.4054592320,-34.5930701716,0 -58.4054581689,-34.5931893813,0 -58.4052717652,-34.5932834948,0 -58.4051023548,-34.5932629601,0 -58.4044384787,-34.5926874351,0 -58.4044378869,-34.5925789791,0 -58.4042132527,-34.5924527941,0 -58.4045157725,-34.5923630182,0 -58.4045064848,-34.5923016676,0 -58.4038420382,-34.5917157731,0 -58.4045642561,-34.5912161846,0 -58.4050989131,-34.5917171113,0 -58.4052878348,-34.5917350862,0"
Zona no identificada,"-58.4012784896,-34.5882990655,0 -58.4012873102,-34.5881720693,0 -58.4019825850,-34.5877545347,0 -58.4021510898,-34.5877563413,0 -58.4027018611,-34.5877784888,0 -58.4034084540,-34.5883218875,0 -58.4033902438,-34.5884290881,0 -58.4031973304,-34.5885446666,0 -58.4030491360,-34.5885170972,0 -58.4022979531,-34.5889714834,0 -58.4022886733,-34.5890882672,0 -58.4020879304,-34.5892018613,0 -58.4019356602,-34.5892098076,0 -58.4018212679,-34.5892709589,0 -58.4014571894,-34.5894576776,0 -58.4017124905,-34.5896982597,0 -58.4015439894,-34.5898008547,0 -58.4013922183,-34.5898011168,0 -58.4012432245,-34.5899236066,0 -58.4010600501,-34.5897878590,0 -58.4009238605,-34.5897731240,0 -58.4005900355,-34.5894805874,0 -58.4002590049,-34.5890423572,0 -58.4002171034,-34.5889313207,0 -58.4002208551,-34.5888103826,0 -58.4008636390,-34.5884291518,0 -58.4009375105,-34.5884311214,0 -58.4012105902,-34.5886686279,0 -58.4019353322,-34.5891919329,0 -58.4020722298,-34.5891880368,0 -58.4022683900,-34.5890793868,0 -58.4022755155,-34.5889612751,0 -58.4016387573,-34.5884556883,0 -58.4014465026,-34.5884304266,0 -58.4012784896,-34.5882990655,0"
AGU201,"-58.3994424025,-34.5857035502,0 -58.3976662424,-34.5872110232,0 -58.3974884094,-34.5870901230,0 -58.3974668381,-34.5866597260,0 -58.3987460017,-34.5855460886,0 -58.3994424025,-34.5857035502,0"
AGU202,"-58.3970723685,-34.5853268950,0 -58.3984784544,-34.5856554121,0 -58.3985882250,-34.5856834498,0 -58.3974668381,-34.5866597260,0 -58.3969361432,-34.5853710607,0 -58.3970723685,-34.5853268950,0"
AGU203,"-58.3953495090,-34.5861998809,0 -58.3957211707,-34.5858886217,0 -58.3976662422,-34.5872110234,0 -58.3975142650,-34.5873399894,0 -58.3956608900,-34.5863478807,0 -58.3953495090,-34.5861998809,0"
AGU204,"-58.3938668936,-34.5854551669,0 -58.3946466526,-34.5846878696,0 -58.3947985015,-34.5846905469,0 -58.3952204541,-34.5855073677,0 -58.3957211707,-34.5858886217,0 -58.3953495090,-34.5861998809,0 -58.3938668936,-34.5854551669,0"
AGU205,"-58.4002869175,-34.5849795743,0 -58.4003838013,-34.5850929360,0 -58.4003935464,-34.5852139250,0 -58.4012258380,-34.5858275823,0 -58.4005901883,-34.5862116616,0 -58.4005765522,-34.5863236436,0 -58.4003962487,-34.5864327702,0 -58.4002133451,-34.5864051875,0 -58.3995659490,-34.5858852387,0 -58.3995653319,-34.5858062581,0 -58.3994425902,-34.5857035923,0 -58.4002869175,-34.5849795743,0"
AGU207,"-58.4103550025,-34.5928585618,0 -58.4111526268,-34.5926716887,0 -58.4113103469,-34.5926370643,0 -58.4115898668,-34.5930112177,0 -58.4117293935,-34.5930427254,0 -58.4118794105,-34.5932241451,0 -58.4118475234,-34.5933267263,0 -58.4108552936,-34.5937849680,0 -58.4107661771,-34.5937618087,0 -58.4107016469,-34.5938450205,0 -58.4106759742,-34.5938884270,0 -58.4106014189,-34.5939159599,0 -58.4105197020,-34.5937724816,0 -58.4104535408,-34.5937511886,0 -58.4099605519,-34.5929208330,0 -58.4099950871,-34.5928596212,0 -58.4102261688,-34.5928174351,0 -58.4103550025,-34.5928585618,0"
AGU208,"-58.4034084540,-34.5883218875,0 -58.4040756179,-34.5879458581,0 -58.4041963020,-34.5879454925,0 -58.4044107966,-34.5881047250,0 -58.4044003566,-34.5882168016,0 -58.4037295918,-34.5885839050,0 -58.4035817756,-34.5885759718,0 -58.4033902438,-34.5884290881,0 -58.4034084540,-34.5883218875,0"
AGU282A,"-58.4033237574,-34.5833392887,0 -58.4043859078,-34.5833609873,0 -58.4044154806,-34.5834889998,0 -58.4043581190,-34.5835711826,0 -58.4034224097,-34.5835974359,0 -58.4033237574,-34.5833392887,0"
AGU282B,"-58.4036621080,-34.5839027750,0 -58.4034224097,-34.5835974359,0 -58.4043581190,-34.5835711826,0 -58.4050961617,-34.5844781357,0 -58.4039596565,-34.5851287060,0 -58.4039344176,-34.5852611463,0 -58.4037652761,-34.5853800680,0 -58.4036190389,-34.5853331845,0 -58.4027824492,-34.5842579731,0 -58.4036621080,-34.5839027750,0"
AGU282C,"-58.4022661670,-34.5835944149,0 -58.4022988609,-34.5834498501,0 -58.4025889591,-34.5834896400,0 -58.4027600972,-34.5835962957,0 -58.4034224097,-34.5835974359,0 -58.4036621080,-34.5839027750,0 -58.4027824492,-34.5842579731,0 -58.4022661670,-34.5835944149,0"
AGU282D,"-58.4023725657,-34.5833198489,0 -58.4033237576,-34.5833392884,0 -58.4034224098,-34.5835974360,0 -58.4027600970,-34.5835962957,0 -58.4025889583,-34.5834896395,0 -58.4022988610,-34.5834498498,0 -58.4023725657,-34.5833198489,0"
AGU283,"-58.4052126751,-34.5862478733,0 -58.4058349764,-34.5867922267,0 -58.4058216029,-34.5869333822,0 -58.4056525046,-34.5870490299,0 -58.4054938990,-34.5870482994,0 -58.4048357143,-34.5864654170,0 -58.4048605975,-34.5863564377,0 -58.4050391800,-34.5862487295,0 -58.4052126751,-34.5862478733,0"
AGU284,"-58.4041745695,-34.5867723336,0 -58.4040298368,-34.5866289120,0 -58.4040298196,-34.5865193143,0 -58.4041772049,-34.5864352095,0 -58.4035333086,-34.5857873814,0 -58.4033884330,-34.5858659410,0 -58.4032417749,-34.5858472311,0 -58.4031166468,-34.5856653066,0 -58.4036190389,-34.5853331845,0 -58.4037652761,-34.5853800680,0 -58.4039344176,-34.5852611463,0 -58.4040711910,-34.5854006396,0 -58.4042421595,-34.5854190904,0 -58.4053542141,-34.5847723161,0 -58.4059367589,-34.5854291521,0 -58.4057485110,-34.5855419135,0 -58.4049171268,-34.5860524583,0 -58.4049046014,-34.5861308642,0 -58.4050391800,-34.5862487295,0 -58.4048605975,-34.5863564377,0 -58.4048357143,-34.5864654170,0 -58.4043388216,-34.5867726251,0 -58.4041745695,-34.5867723336,0"
AGU285A,"-58.4046760653,-34.5892971704,0 -58.4046997618,-34.5893902258,0 -58.4045109414,-34.5895332230,0 -58.4044184425,-34.5895374979,0 -58.4039066630,-34.5891501740,0 -58.4042210707,-34.5889391990,0 -58.4037295918,-34.5885839050,0 -58.4044003566,-34.5882168016,0 -58.4052539211,-34.5888516271,0 -58.4046760653,-34.5892971704,0"
AGU285B,"-58.4031973304,-34.5885446666,0 -58.4033902438,-34.5884290881,0 -58.4035817756,-34.5885759718,0 -58.4033862971,-34.5886869123,0 -58.4033561052,-34.5888560117,0 -58.4026534585,-34.5892472184,0 -58.4024502475,-34.5892172866,0 -58.4022886733,-34.5890882672,0 -58.4022979531,-34.5889714834,0 -58.4030491360,-34.5885170972,0 -58.4031973304,-34.5885446666,0"
AGU285C,"-58.4055818144,-34.5890924669,0 -58.4050475539,-34.5894978862,0 -58.4048773126,-34.5895193995,0 -58.4046997618,-34.5893902258,0 -58.4046760653,-34.5892971704,0 -58.4052539211,-34.5888516271,0 -58.4054192787,-34.5888478964,0 -58.4057999172,-34.5887833069,0 -58.4057138105,-34.5888542998,0 -58.4058658402,-34.5889704318,0 -58.4056484598,-34.5891445714,0 -58.4055818144,-34.5890924669,0"
AGU285D,"-58.4037295918,-34.5885839050,0 -58.4042210707,-34.5889391990,0 -58.4039066630,-34.5891501740,0 -58.4031564370,-34.5896535853,0 -58.4026534585,-34.5892472184,0 -58.4033561052,-34.5888560117,0 -58.4033862971,-34.5886869123,0 -58.4035817756,-34.5885759718,0 -58.4037295918,-34.5885839050,0"
